,product_id,marketplace,customer_id,review_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
0,B00009WNZA,US,41768566,R35Y5RH3IHI1RZ,171514791,The Sims 2,Video Games,5.0,1411.0,1503.0,N,N,2003-09-11
1,B002I0KOLA,US,51406859,R1FAZQ008FL8PG,876522540,The Sims Medieval,Video Games,4.0,610.0,631.0,N,Y,2011-03-23
2,B0002HTAYS,US,30412978,R3MSZ5HXX1LF08,67580798,The Sims 2 (Special DVD Edition),Video Games,5.0,759.0,782.0,N,N,2004-09-17
3,B00EFRN2IQ,US,32039478,R326VV67XAHBH0,793022980,Sims 4,Video Games,2.0,1720.0,1851.0,N,N,2014-09-02
4,B007CM0K86,US,19902055,R320J8FLB7RU5H,18715758,The Last of Us,Video Games,5.0,786.0,868.0,N,N,2013-06-16
5,B00JK00S0S,US,11109353,R36S909XPQ8R1E,715643191,The Last of Us,Video Games,5.0,575.0,642.0,N,N,2014-07-29
6,B002I0HJZO,US,14124631,R3U592MEECO32W,28899677,Battlefield 3,Video Games,1.0,852.0,1088.0,N,Y,2011-10-31
7,B000084318,US,50562473,R2ZE4SNBL9CIFD,731692291,The Legend of Zelda: The Wind Waker,Video Games,5.0,620.0,647.0,N,N,2003-01-14
8,B0009VXAM0,US,52759271,R2BOJDNW0G80JJ,320220176,PlayStation 3,Video Games,5.0,2403.0,2763.0,N,N,2006-11-18
9,B00004SQPD,US,49837039,R3RTNVH0DY66U6,46715088,PlayStation 2,Video Games,5.0,999.0,1056.0,N,N,2004-10-25
10,B000SL4ANE,US,53090162,R30UEH3U1JG35J,951286588,Chessmaster: The Art of Learning,Video Games,4.0,778.0,788.0,N,N,2007-11-07
11,B0051JSJ44,US,34731515,RU5WR0ZFTOBW6,183110864,The Avenger - Xbox 360 Adapter,Video Games,1.0,624.0,796.0,N,N,2011-12-27
12,B000MK694E,US,50648042,R3DYE5TLL1IIC6,473728670,BioShock,Video Games,1.0,1953.0,2222.0,N,N,2007-08-24
13,B002BS47YE,US,16147108,R1GKBD4NH7G7XE,462073558,Crysis 2,Video Games,1.0,667.0,815.0,N,N,2011-03-23
14,B0016BVYAM,US,26498296,R3KV05DC6QN91T,410440470,Bioshock 2,Video Games,1.0,679.0,799.0,N,N,2010-02-11
15,B00KVMHSUM,US,32583484,R253CU7IX0P1BG,573923119,PlayStation TV,Video Games,3.0,808.0,880.0,N,Y,2014-10-15
